Match ID,Season,Match Date,Venue,Teams,Outcome,Match Situation,Players Involved
1,2021,15 October 2021 - night (20-over match),Dubai International Cricket Stadium,CSK vs KKR,CSK won by 27 runs,"Faf du Plessis and bowlers stifle KKR to seal CSK's fourth IPL title; Uthappa and Moeen played their parts with the bat too, before Shardul Thakur and Co cut through Knight Riders' middle","Faf du Plessis, Shardul Thakur"
2,2021,11 October 2021 - night (20-over match),Sharjah Cricket Stadium,RCB vs KKR,KKR won by 4 wickets (with 2 balls remaining),"Narine stars with bat and ball, puts KKR in Qualifier 2, ends Kohli's tenure as RCB captain with defeat; It was one of the great IPL all-round performances, as Narine's 4 for 21 and 15-ball 26 swung, and changed, the match","Narine, Kohli"
3,2021,26 September 2021 - night (20-over match),Dubai International Cricket Stadium,RCB vs MI,RCB won by 54 runs,"Harshal Patel hat-trick caps comprehensive Royal Challengers Bangalore win; Glenn Maxwell, Yuzvendra Chahal and Virat Kohli also fire for RCB; flat Mumbai Indians fall to seventh on points table","Harshal Patel, Glenn Maxwell, Yuzvendra Chahal, Virat Kohli"
4,2021,29 April 2021 - night (20-over match),"Narendra Modi Stadium, Ahmedabad",DC vs KKR,DC won by 7 wickets (with 21 balls remaining),"Prithvi Shaw carnage leads Delhi Capitals to comprehensive win against Kolkata Knight Riders; Shaw cracked 82 off just 41 balls, and smashed six fours in the opening over of the chase",Prithvi Shaw
5,2022,29 May 2022 - night (20-over match),"Narendra Modi Stadium, Ahmedabad",GT vs RR,GT won by 7 wickets (with 11 balls remaining),All-round Hardik Pandya leads debutants Gujarat Titans to dream title; Captain takes three wickets and scores vital 34 as Titans make light work of Royals' 130,Hardik Pandya
6,2022,27 May 2022 - night (20-over match),"Narendra Modi Stadium, Ahmedabad",RR vs RCB,RR won by 7 wickets (with 11 balls remaining),"Buttler ton, Prasidh-McCoy show put Royals in IPL final; Royal Challengers Bangalore were restricted to 157 for 8 and then were beaten with 11 balls to spare","Buttler, Prasidh, McCoy"
7,2022,21 May 2022 - night (20-over match),"Wankhede Stadium, Mumbai",MI vs DC,MI won by 5 wickets (with 5 balls remaining),"RCB sneak into playoffs after Tim David, Jasprit Bumrah knock Delhi Capitals out; David would have been out for 0 had Pant opted to review a caught-behind decision. He went onto smash 34 off 11 balls","Tim David, Jasprit Bumrah, Pant"
8,2022,5 May 2022 - night (20-over match),"Brabourne Stadium, Mumbai",DC vs SRH,DC won by 21 runs,"Warner, Powell power Capitals convincingly past Sunrisers; Third defeat in a row for Sunrisers, who fall 21 short of target of 208","Warner, Powell"
9,2022,6 May 2022 - night (20-over match),"Brabourne Stadium, Mumbai",GT vs MI,MI won by 5 runs,"Sams defends eight in last over after Rohit, David knocks; Gujarat Titans fell short in the last over and lost their second game in a row","Sams, David"
10,2023,"28,29 May 2023 - night (20-over match)","Narendra Modi Stadium, Ahmedabad",GT vs CSK,CSK won by 5 wickets (with 0 balls remaining) (DLS method),"Jadeja's last-ball four seals fifth title for CSK in rollercoaster final; After a washed-out day and a long delay, CSK won a thriller off the final ball against Gujarat Titans to spark off celebrations in the early hours of Tuesday",Jadeja
11,2023,26 May 2023 - night (20-over match),"Narendra Modi Stadium, Ahmedabad",GT vs MI,GT won by 62 runs,Gill's glorious hundred powers Titans into IPL final; The opener smashed 129 off 60 balls after which Mohit took 5 for 10 to knock out Mumbai,"Gill, Mohit"
12,2023,30 April 2023 - night (20-over match),"Wankhede Stadium, Mumbai",MI vs RR,MI won by 6 wickets (with 3 balls remaining),"David goes 6, 6, 6 in final over to trump Jaiswal's stunning hundred; In the 1000th IPL game, Mumbai Indians become the first team in the tournament history to chase down a 200-plus total at the Wankhede",David
13,2023,20 May 2023 - daynight (20-over match),"Arun Jaitley Stadium, Delhi",DC vs CSK,CSK won by 77 runs,"Gaikwad, Conway script CSK's big win; For Delhi Capitals, the end was as tame as the start of the season","Gaikwad, Conway"
14,2023,13 May 2023 - daynight (20-over match),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH vs LSG,LSG won by 7 wickets (with 4 balls remaining),"Mankad 64, Pooran 13-ball 44 take LSG back to No. 4; With just eight points from 11 matches, Sunrisers are all but out of contention to make the playoffs","Mankad, Pooran"
15,2023,21 May 2023 - night (20-over match),"M Chinnaswamy Stadium, Bengaluru",RCB vs GT,GT won by 6 wickets (with 5 balls remaining),Gill's second straight century trumps Kohli's to knock RCB out of playoffs race; Gill's unbeaten 104 featured seven more sixes than Kohli's 101 not out,Gill
16,2024,7 April 2024 - daynight (20-over match),"Wankhede Stadium, Mumbai",MI vs DC,MI won by 29 runs,"Shepherd, David and Bumrah help Mumbai get off the mark; Stubbs' blazing fifty not enough as Coetzee picks up four wickets to consign Capitals to a fourth loss in five games","Shepherd, David, Bumrah, Stubbs, Coetzee"
17,2024,25 April 2024 - night (20-over match),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH vs RCB,RCB won by 35 runs,"Patidar, Green, spinners thump SRH to end six-match losing streak; Kohli top-scored for RCB but his 51 off 43 saw a slowdown after the powerplay","Patidar, Green, Kohli"
18,2024,19 May 2024 - daynight (20-over match),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH vs PBKS,SRH won by 4 wickets (with 5 balls remaining),"SRH ride on another Abhishek blitz to finish second in league-stage standings; Punjab Kings posted 214 on the back of a solid fifty from Prabhsimran, but SRH hunted it down with five balls to spare",Abhishek
19,2024,22 April 2024 - night (20-over match),"Sawai Mansingh Stadium, Jaipur",RR vs MI,RR won by 9 wickets (with 8 balls remaining),"Sandeep Sharma five-for, Yashasvi Jaiswal ton hand Royals comfortable win; Royals signed off from the Jaipur leg of their campaign with a seventh win in eight matches to cement their table-topping status","Sandeep Sharma, Yashasvi Jaiswal"
